YearMonth,LangName,CommitCnts
2008-1,Crystal,998
2003-4,JSONiq,360
2003-4,Swift,6741
2003-1,Crystal,372
2014-3,Glyph,139
2006-10,Game Maker Language,10313
2008-6,Game Maker Language,13222
2003-3,Pawn,10599
2016-6,Singularity,776
2020-9,Singularity,560
2010-8,API Blueprint,664
2004-3,API Blueprint,288
2011-12,API Blueprint,589
2020-2,Lean,671
2004-2,Component Pascal,5267
2018-6,P4,1354
2005-12,Squirrel,3459
2008-3,Csound Score,2887
2001-6,Gherkin,5287
2008-11,Squirrel,2757
2020-5,ECL,814
2017-9,PEG.js,1657
2013-3,Fluent,6234
2018-7,Objective-J,641
2017-6,Objective-J,681
2018-11,Genie,1211
2016-11,Genie,2214
2012-6,SMT,436
2018-3,Pan,169
2002-7,Kotlin,362
2016-2,ZenScript,337
2003-4,Kotlin,1284
2014-6,REXX,9487
2015-2,JSON,440
2016-6,REXX,4001
2020-5,FORTRAN,2614
2018-10,JSON,1542
2020-7,FORTRAN,2756
2004-3,F#,558
2000-5,Vala,748
2007-9,Cap'n Proto,1428
2006-12,Cap'n Proto,774
2018-2,Faust,2439
2017-7,Csound Document,1291
2019-10,Isabelle,1386
2011-10,Turing,18508
2015-11,Objective-J,4662
2007-7,Liquid,279
2018-7,Pike,147
2018-8,Jasmin,4073
2001-10,Max,2428
2017-12,Jasmin,3282
2017-10,Genero Forms,26
2012-3,Ceylon,2315
2020-6,nesC,1811
2014-6,Ceylon,6243
2013-9,Alloy,223
2013-8,Csound Document,3925
2016-1,Bro,1286
2016-4,Bro,677
2016-12,mupad,282
2017-12,mupad,338
2015-2,Myghty,13973
2014-5,Nextflow,653
2005-9,Mako,3570
2002-4,Mako,764
2017-7,ReScript,5395
2014-7,Self,33
2011-9,Stylus,638
2007-6,Fluent,312
2008-5,Modula-3,246
2014-1,Asymptote,578
2016-1,Asymptote,380
2008-10,Grace,6
2019-2,Nimrod,312
2011-10,SMT,380
2011-1,Ceylon,1292
2014-5,RouterOS Script,1057
2017-2,RouterOS Script,560
2018-5,Fantom,396
2012-5,Jsonnet,1916
2010-7,TXL,16
2019-9,ChucK,12
2015-5,Stan,454
2020-5,HyPhy,3535
2020-11,RPC,4687
2017-2,Charity,205
2018-2,Witcher Script,431
2016-1,X10,195
2006-5,Less,17911
2017-11,Ragel in Ruby Host,1100
2017-10,Promela,11090
2020-4,Promela,13391
2010-6,OpenSCAD,273
2005-9,RPC,6614
2015-2,NCL,270
2013-2,NCL,619
2015-8,NCL,282
2006-2,Euphoria,627
2017-10,Turing,1368
2009-8,mIRC Script,1827
2001-6,Slim,129
2007-10,Slim,376
2015-8,Brightscript,1537
2003-2,Sass,84
2020-6,Genshi,353
2004-2,XML,11169
2002-1,XML,6828
2002-8,VBA,1773
2015-12,EQ,140
2002-6,Puppet,6086
2004-11,StringTemplate,699
2009-7,ZenScript,145
2007-7,ZenScript,126
2011-6,StringTemplate,6662
2011-11,StringTemplate,1092
2020-11,Pure Data,1299
2015-8,Svelte,442
2019-10,FLUX,2062
2005-1,ImageJ Macro,59
2009-10,Pug,649
2004-7,Vim Snippet,55
2003-5,PigLatin,111
2005-9,Classic ASP,33
2020-9,Cypher,237
2004-6,Classic ASP,7
2007-12,HCL,269
2011-5,Pug,899
2011-4,ooc,279
2006-11,HCL,237
2002-9,Classic ASP,17
2020-8,ooc,4
2008-7,ooc,158
2018-6,ooc,13
2000-1,Clean,1192
2010-4,WebIDL,124
2005-12,Boo,6418
2004-3,Clarion,444
2015-10,Mermaid,412
2008-1,Red,64
2015-4,P4,1486
2010-11,ReScript,5546
2017-5,P4,2566
2019-11,WebIDL,1511
2005-9,ReScript,4436
2008-8,ReScript,2016
2009-5,LSL,3648
2003-2,Stata,958
2008-7,JetBrains MPS,98
2008-11,JetBrains MPS,162
2020-9,JetBrains MPS,3101
2015-7,YAML,1186
2016-2,Jolie,265
2013-11,Xonsh,38
2008-12,Jsonnet,1822
2013-10,F*,108
2013-4,GAMS,219
2013-10,GAMS,296
2018-2,OpenQASM,3818
2015-11,DOT,838
2020-5,Modelica,452
2014-12,Opa,278
2006-10,MAXScript,2826
2004-11,Inform 7,45
2000-4,Mercury,3092
2006-6,PAWN,44680
2002-11,PAWN,14535
2020-8,Latte,60
2018-7,Latte,237
2006-12,Jsonnet,1498
2019-12,Asymptote,345
2019-11,Fennel,512
2016-3,Fennel,303
2017-7,Cairo,12
2017-3,Gleam,20
2019-2,DenizenScript,5
2016-11,Logtalk,97
2018-6,DenizenScript,15
2014-1,Csound Score,1326
2013-11,Open Policy Agent,13
2014-4,Open Policy Agent,32
2002-4,V,608
2005-4,V,419
2008-8,1C Enterprise,86
2003-10,Thrift,6
2018-1,MQL4,130
2015-9,Ren'Py,14
2004-1,XProc,1897
2006-4,Myghty,889
2008-1,Self,274
2005-11,Self,216
2006-12,Frege,1806
2019-7,Moocode,73
2020-1,Moocode,74
2018-5,Motoko,394
2016-10,ChucK,419
2011-4,ChucK,692
2003-12,Lasso,462
2014-12,Asymptote,226
2015-12,Imba,6
2018-5,Marko,129
2014-9,KakouneScript,102
2005-3,BASIC,414
2006-1,PEG.js,111
2003-10,ASP.NET,100
2016-5,XPages,22
2010-7,VCL,3372
2008-1,Graphviz (DOT),114399
2018-5,Beef,264
2007-10,Visual Basic .NET,596
2009-4,Visual Basic .NET,939
2012-1,Visual Basic .NET,2066
2012-11,Factor,1360
2018-11,Grammatical Framework,202
2000-11,KRL,969
2006-10,Velocity Template Language,35
2007-6,Velocity Template Language,15
2011-5,F*,45
2020-9,J,2750
2013-5,Mirah,1148
2013-6,Mirah,1115
2004-8,MoonScript,14
2014-6,Mirah,1161
2009-9,PowerBuilder,18
2012-11,Qt Script,212
2000-11,Fancy,66
2016-8,ASL,2221
2013-9,Bluespec,136
2017-2,mupad,222
2010-6,APL,157
2019-5,Cadence,3234
2018-5,Cadence,3636
2017-7,Cadence,1635
2018-11,Factor,163
2020-11,Wren,212
2004-9,RobotFramework,126
2005-3,ECL,1791
2017-11,Redcode,1545
2004-10,Modelica,362
2020-11,ASL,3779
2011-2,ASL,402
2010-12,Oxygene,1590
2020-4,ZAP,566
2020-11,ZAP,569
2015-3,BlitzMax,507
2013-12,Bicep,267
2013-5,SQF,110
2007-12,VCL,1822
2009-10,Genie,337
2020-10,REXX,13179
2020-10,MQL5,64
2019-5,Xojo,26
2002-3,Parrot,2406
2002-6,SQL,942
2003-9,SQL,1419
2018-8,SQL,14
2014-3,NetLogo,101
2014-9,Singularity,477
2016-1,DataWeave,4
2013-6,Stan,442
2015-4,just,4
2019-1,Web Ontology Language,90
2008-7,q,114
2001-3,BlitzBasic,3092
2011-2,ShaderLab,186
2007-3,Zimpl,1064
2003-12,F*,100
2016-1,CAP CDS,1086
2018-11,CAP CDS,1091
2002-6,AutoIt,60
2014-8,YARA,635
2006-8,CUE,320
2014-9,JFlex,7146
2007-10,JFlex,2373
2005-12,JFlex,1583
2020-10,ShellSession,35
2018-11,Diff,18
2010-2,jq,150
2009-7,Qt Script,181
2007-1,Filebench WML,20
2012-5,LabVIEW,97
2003-11,Faust,48
2003-12,Pep8,46
2020-1,Berry,466
2019-3,Berry,352
2009-11,NetLogo,58
2007-5,Golo,180
2006-12,X10,183
2013-12,Tea,99
2012-12,Tea,288
2009-9,Cirru,231
2008-3,Shen,63
2007-3,Papyrus,169
2008-3,Kaitai Struct,4
2017-11,Yul,288
2010-7,Common Workflow Language,48
2010-1,Slice,289
2004-4,Slice,582
2012-6,Singularity,151
2008-2,Singularity,25
2009-6,Singularity,52
2009-2,Singularity,53
2009-3,MQL5,32
2009-3,Pony,32
2020-2,Ioke,62
2018-11,Opa,72
2018-11,Whiley,72
2012-10,Sieve,118
2007-5,Macaulay2,90
2014-11,Whiley,276
2013-2,MQL4,138
2006-12,Cypher,122
2007-1,G-code,155
2007-1,Zeek,132
2019-12,MQL5,209
2018-12,Smithy,82
2019-2,Ioke,26
2010-1,Macaulay2,66
2011-1,Zeek,44
2008-11,Motoko,42
2008-11,Scaml,42
2010-2,MQL4,38
2011-7,MQL4,30
2010-7,Berry,10
2018-2,Smithy,8
2011-12,Motoko,12
2015-6,Motoko,275
2007-8,Macaulay2,30
2012-6,Solidity,38
2016-8,Smithy,14
2020-7,mupad,278
2018-4,X10,8
2018-10,Tea,4
2020-5,Ren'Py,11
2006-12,GSC,25
2010-3,Nextflow,45
2003-9,Nextflow,7
2006-9,Nextflow,76
2010-10,Nextflow,48
2004-1,Nextflow,17
2009-10,Nextflow,45
2006-1,PureBasic,17
2001-1,SQL,905
2016-4,CSON,17
2000-10,NCL,12
2013-6,Glyph,5
2017-11,Bikeshed,1
2019-8,Opa,2
2020-2,RPGLE,20
2008-3,RPGLE,2
2014-2,Q#,6
2013-12,Portugol,8
2016-3,TXL,101
2001-8,Frege,375
2017-5,Adblock Filter List,136
2004-5,Click,492
2000-6,HLSL,80
2004-5,GSC,15
2009-3,BrighterScript,7
2010-8,PowerBuilder,57
2001-8,PowerBuilder,10
2005-12,PowerBuilder,26
2010-2,PowerBuilder,14
2017-9,reStructuredText,3
2005-9,q,48
2003-1,Visual Basic .NET,46
2008-8,Wollok,5
2010-11,Xonsh,10
2008-11,HolyC,5
2013-3,Closure Templates,479
2009-11,PureScript,453
2005-11,PureScript,72
2001-2,HiveQL,1
2015-4,NWScript,18
2003-2,Ecl,9
2014-6,Witcher Script,99
2004-6,ChucK,1338
2002-2,IGOR Pro,1138
2005-6,Qt Script,93
2015-1,Astro,5
2010-1,Curry,16
2011-12,Cycript,2
2000-6,Stata,612
2003-8,OpenSCAD,18
2005-12,OpenSCAD,8
2006-6,Bluespec,66
2007-3,Bluespec,13
2010-5,Awk,34086315
2010-8,XSLT,9109571
2013-4,Python,25559948
2008-5,Shell,18697552
2015-6,Shell,20291489
2016-6,Python,6852803
2015-7,Lex,3918912
2010-4,GDB,1998935
2016-4,Python,6819244
2010-7,Scilab,15681064
2010-7,Lex,10090532
2012-6,GDB,2438002
2006-9,Assembly,20831653
2006-9,Stata,15080
2012-2,PowerShell,573388
2012-10,Java,2643558
2013-3,Gherkin,302670
2007-5,XSLT,5994617
2008-7,VimL,13020769
2010-2,Stata,18479
2012-8,TeX,2435837
2014-6,Makefile,14568800
2010-9,Yacc,11005833
2015-3,SourcePawn,5724084
2016-3,C++,4573747
2014-1,UnrealScript,9794478
2006-5,C++,8152678
2016-7,Makefile,4842520
2008-1,UnrealScript,30204659
2008-2,Clojure,9882065
2012-5,Stata,30947
2017-9,Go,1198400
2005-8,Makefile,6126059
2004-7,JavaScript,690048
2009-10,XSLT,5255537
2017-1,Objective-C,1946258
2012-11,ActionScript,420106
2010-12,Objective-C,22538076
2006-10,Makefile,11297414
2013-7,ASP,3267230
2013-7,VimL,2346476
2014-8,Awk,7549493
2012-9,CMake,1129887
2015-8,Thrift,311780
2011-11,Haskell,175143
2014-7,PHP,3299261
2014-6,PowerShell,1634049
2007-3,Shell,11131555
2016-6,Batchfile,3045235
2013-5,Ruby,4618769
2001-10,C++,514570
2018-1,Go,972189
2006-1,Shell,22826670
2018-8,PHP,567986
2011-5,PowerShell,404141
2017-12,Jinja,51904
2016-5,SuperCollider,53609
2018-2,PHP,701123
2012-8,ActionScript,596160
2013-1,ActionScript,618158
2008-5,JavaScript,4543245
2016-7,Objective-C++,658326
2019-2,Makefile,1518318
2011-7,Objective-C++,3516977
2019-3,EJS,19557
2016-9,Tcl,252400
2014-4,Haskell,220781
2015-8,HLSL,102174
2013-6,PLpgSQL,481899
2013-1,HLSL,71289
2014-5,Gherkin,279742
2012-4,Ruby,3681098
2012-8,Logos,321815
2016-7,Nginx,453515
2006-11,Scala,1105290
2013-10,RobotFramework,14010
2006-2,VimL,3474745
2014-1,,1377046
2010-12,Xtend,5557
2016-1,Rich Text Format,41287
2005-12,Shell,6051852
2008-5,,922191
2004-6,Shell,950464
2007-3,JavaScript,3243480
2002-7,C,543460
2006-9,ActionScript,249656
2003-9,C,644225
2004-3,XSLT,445991
2007-2,ActionScript,111760
2002-6,R,107277
2003-2,Shell,1183745
2015-12,SQLPL,235811
2013-3,R,557718
2012-4,R,573454
2014-6,Pascal,338565
2011-2,Dockerfile,151506
2011-4,ActionScript,140957
2015-7,Swift,538388
2005-7,JavaScript,2674182
2003-7,Perl,723747
2002-11,Python,522856
2010-9,CMake,842949
2013-3,F#,40385
2000-5,Assembly,192238
2016-11,Yacc,1015446
2016-10,Groff,144461
2010-8,CMake,873513
2018-7,Jupyter Notebook,168052
2002-3,Shell,599983
2005-3,Gherkin,177135
2004-5,Logos,102730
2003-4,CSS,504333
2007-3,Smarty,160932
2001-2,Lua,45413
2006-12,M,34116
2003-2,XSLT,760029
2002-3,CMake,170230
2010-12,ApacheConf,1000413
2014-1,SuperCollider,41574
2005-3,ApacheConf,121653
2018-6,ActionScript,16893
2015-10,OpenSCAD,8824
2012-11,PostScript,475661
2006-11,Smarty,129869
2008-2,Emacs Lisp,502977
2018-8,C++,1245560
2014-11,RobotFramework,11754
2016-9,Elm,29218
2019-5,CoffeeScript,77129
2017-6,Scala,195119
2018-9,PowerShell,553187
2010-5,Raku,31817
2014-9,SuperCollider,38192
2015-7,OCaml,153699
2015-6,Lua,1102302
2016-6,SCSS,261360
2013-7,Scheme,286237
2019-9,MAXScript,2144
2010-9,Factor,2321
2019-12,Objective-C++,189996
2012-12,Haskell,158176
2017-6,Inno Setup,104969
2010-8,Matlab,222360
2011-8,SWIG,22217
2011-9,F#,50900
2019-7,MATLAB,70989
2017-11,Vue,130927
2011-10,Dockerfile,168038
2004-8,CMake,313656
2014-12,XML,23152
2004-12,M4,153086
2004-12,Yacc,294254
2002-7,Common Lisp,74114
2016-3,Matlab,180192
2018-9,Mustache,57626
2001-4,Common Lisp,33682
2015-11,Groff,840979
2014-9,Matlab,254798
2016-5,Brainfuck,22454
2011-8,F#,48141
2020-6,Smalltalk,32233
2019-12,Ruby,627158
2012-1,EJS,2544
2004-6,SuperCollider,38721
2020-9,Arduino,1535
2020-6,Fluent,5666
2009-11,PostScript,208806
2017-3,Csound Score,4490
2019-5,OCaml,31812
2014-9,XML,37897
2001-5,Elixir,34626
2018-11,Groff,26756
2019-10,CMake,501217
2018-12,R,81931
2018-1,F#,69534
2002-12,TeX,186221
2004-11,Elixir,42386
2018-10,Mustache,87775
2016-4,Elixir,40997
2019-12,M4,158885
2013-1,FORTRAN,151389
2011-7,Hack,113108
2015-12,Common Lisp,77983
2019-1,SWIG,46090
2018-6,Tcl,110627
2018-5,Hack,163764
2012-4,Arduino,177646
2018-5,Tcl,164730
2013-8,Gettext Catalog,10758
2011-6,EJS,1243
2015-7,GAMS,380
2012-11,Gettext Catalog,12382
2012-6,Emacs Lisp,601864
2015-5,OpenEdge ABL,222319
2015-5,NewLisp,35474
2013-1,Matlab,377178
2012-11,Cap'n Proto,12699
2011-9,Gettext Catalog,8573
2006-5,Bison,1211392
2007-9,Vim Script,11748
2012-8,SystemVerilog,39636
2010-4,Modula-2,22673
2008-9,Roff,640598
2005-6,VBA,4652
2005-6,Vim Script,10677
2012-6,DTrace,145978
2012-9,Cap'n Proto,17848
2007-11,Perl6,344596
2019-8,Mathematica,14344
2011-2,Modula-2,31482
2016-11,Forth,21631
2016-12,DTrace,160226
2016-6,Ada,44498
2016-6,Forth,20674
2007-12,Fortran,73252
2000-7,M4,63856
2004-12,Forth,59538
2011-8,Genshi,6063
2010-4,Gettext Catalog,11395
2002-7,Ada,146031
2002-7,Perl 6,29460
2002-7,Roff,71723
2016-1,Scheme,164968
2002-6,Batchfile,202357
2002-6,GDB,44734
2005-9,Modula-2,24424
2005-9,Scheme,116653
2016-7,Haml,9393
2016-3,AspectJ,46187
2007-8,Pascal,377025
2009-9,Modula-2,32388
2001-8,GDB,34389
2020-10,NSIS,66920
2010-6,Gettext Catalog,9416
2013-8,FreeMarker,111078
2002-3,Perl 6,27614
2005-6,Pascal,370135
2000-5,Common Lisp,55063
2007-6,Fortran,68593
2003-3,Matlab,107851
2009-11,Rust,51673
2005-11,Perl 6,177869
2003-4,Smalltalk,22300
2014-6,Julia,24601
2002-11,NSIS,42580
2002-11,Slash,30614
2002-7,Groovy,2549
2017-4,GCC Machine Description,7127
2004-9,SWIG,7081
2011-7,Cap'n Proto,10444
2013-2,Rust,121070
2009-10,Rust,58399
2007-10,Ragel in Ruby Host,16775
2005-10,C#,160435
2017-6,FreeMarker,89787
2015-6,sed,482272
2018-8,HCL,124323
2019-8,Blade,10812
2018-12,Forth,11786
2018-1,Slash,7522
2011-1,Kotlin,87074
2012-1,Dart,51538
2020-2,SystemVerilog,5263
2014-4,TSQL,132021
2012-11,sed,54867
2016-2,Modelica,2306
2020-2,GLSL,97220
2015-9,CartoCSS,2904
2009-10,XML,363090
2013-9,Meson,37376
2017-3,Inno Setup,117592
2016-1,E,11367
2018-7,BitBake,4187
2014-4,Pawn,16791
2013-12,Pawn,13197
2017-3,DIGITAL Command Language,232534
2013-7,Oz,5284
2019-10,Pawn,75130
2019-2,Procfile,29591
2017-12,Pascal,72314
2017-5,BitBake,6513
2001-1,Cucumber,6825
2008-10,Dockerfile,71424
2008-2,PLpgSQL,154974
2007-3,TypeScript,82554
2014-9,1C Enterprise,19444
2008-5,Thrift,23886
2001-7,Cucumber,5270
2012-9,AMPL,127087
2020-3,Meson,42651
2001-9,Dockerfile,6926
2009-5,Cython,3745
2000-11,PLSQL,37514
2013-7,Parrot,773
2010-7,SCSS,127173
2003-10,Perl6,100781
2017-3,Coq,10077
2012-9,Arduino,183078
2011-9,FLUX,144949
2011-4,Arduino,118386
2017-1,Crystal,9007
2013-7,Meson,42232
2012-8,XC,21637
2018-2,FORTRAN,2972
2016-2,ShaderLab,20953
2008-10,Vim Snippet,475
2020-8,D,37221
2020-7,LLVM,102094
2006-11,Elixir,34670
2010-12,Eiffel,40015
2001-12,Bison,44105
2001-12,GDScript,30031
2011-9,LiveScript,19333
2017-1,Visual Basic .NET,29902
2014-9,CLIPS,83850
2004-6,GDScript,26642
2000-2,Pure Data,55489
2009-5,EmberScript,9674
2002-1,GDScript,38593
2002-10,C#,117585
2002-8,GAP,112744
2010-10,Elixir,55470
2001-3,Bison,41262
2001-11,DTrace,80562
2001-11,Pure Data,79395
2000-1,SuperCollider,8438
2012-11,Cuda,82045
2010-8,DTrace,166645
2014-12,GDScript,22070
2004-4,E,39785
2001-5,E,27231
2001-5,GDScript,22828
2010-3,Diff,32146
2005-12,E,33784
2002-7,Inno Setup,16084
2016-1,Filebench WML,125
2019-7,Svelte,1062
2008-8,Processing,5293
2020-12,Stata,1339
2010-3,Dhall,54
2013-10,XQuery,61212
2007-11,Processing,5544
2020-1,Earthly,288
2017-7,Dhall,739
2014-8,XS,77483
2013-5,Nu,5151
2017-11,PureScript,6112
2011-8,SAS,132736
2011-5,Module Management System,107863
2017-6,Blade,11050
2018-8,HLSL,39269
2014-11,PureBasic,75349
2013-7,MoonScript,23402
2017-7,Blade,13235
2012-10,WebAssembly,1875
2016-2,SMT,4177
2018-4,FreeMarker,53091
2008-10,Gnuplot,52708
2014-8,Jasmin,11484
2008-10,Standard ML,70176
2010-7,V,2491
2019-9,Liquid,3177
2009-3,Hack,51784
2014-7,Jasmin,6467
2017-9,Brainfuck,8798
2016-2,FLUX,21514
2011-1,Smali,946
2020-3,Haskell,28571
2015-3,Arc,60266
2004-6,CLIPS,79570
2004-3,Module Management System,56391
2018-12,F*,790
2004-7,Module Management System,68664
2000-10,SAS,42543
2009-5,Module Management System,71031
2014-2,VHDL,17286
2000-12,Haskell,66479
2002-6,SAS,69581
2007-9,SAS,75748
2014-6,Agda,736
2009-3,CLIPS,75372
2006-6,Vala,5462
2013-1,Jupyter Notebook,71816
2007-3,Protocol Buffer,127657
2002-6,XS,32543
2020-8,Standard ML,14947
2017-6,Cuda,71955
2005-6,Nix,4844
2008-12,COBOL,9257
2007-3,Nix,5610
2008-1,Oxygene,1238
2002-9,Standard ML,35588
2002-9,Verilog,5737
2015-1,REALbasic,23
2004-7,COBOL,3872
2011-3,COBOL,13143
2012-7,VHDL,11533
2011-9,RenderScript,32423
2012-10,PigLatin,12175
2008-7,SQL,4142
2010-8,PigLatin,10186
2010-6,FreeMarker,48401
2007-5,Opa,435
2020-9,GDB,85470
2003-8,AGS Script,3626
2010-6,Procfile,5341
2006-8,SQL,2766
2007-7,SQL,3724
2016-9,JSONiq,6504
2014-4,Gosu,52369
2011-7,Opa,412
2019-1,Ada,14825
2020-4,Rascal,2126
2017-10,LFE,79
2019-9,LFE,58
2011-9,Twig,21694
2015-10,Arc,32068
2013-4,Euphoria,1714
2019-11,Latte,175
2000-7,ActionScript,1532
2007-5,Pan,2471
2009-8,Twig,4244
2016-2,Pan,830
2012-8,Twig,13507
2005-3,Mustache,57341
2007-5,Euphoria,1076
2018-6,Rascal,6710
2007-2,SCSS,49172
2014-5,Pan,2009
2008-9,Euphoria,942
2009-9,Twig,3437
2012-11,Pan,2137
2018-10,Arc,5049
2015-5,HolyC,5
2019-2,Sass,10117
2011-2,Starlark,4635
2005-8,Cuda,15727
2002-6,Rust,31173
2011-12,AutoHotkey,15502
2009-5,XProc,9601
2006-4,Mercury,3806
2012-3,AutoHotkey,8166
2011-11,LSL,14112
2012-8,CartoCSS,6543
2014-4,Vala,40897
2018-11,MoonScript,1144
2018-11,Nim,5996
2015-2,MoonScript,7262
2010-12,Julia,12664
2020-7,MoonScript,674
2012-2,ABAP,6820
2011-1,COBOL,31207
2013-9,JSONiq,10393
2008-6,Rust,46699
2019-8,Volt,677
2006-3,Mercury,4587
2011-9,Julia,9844
2010-11,AutoHotkey,11233
2007-12,Mercury,6788
2007-11,ANTLR,10211
2018-11,Stan,668
2020-2,Crystal,1237
2012-5,Visual Basic .NET,1692
2010-9,COBOL,15927
2020-7,Odin,90
2020-7,LilyPond,397
2015-11,Nim,5046
2013-5,XC,22788
2005-1,ColdFusion,2679
2007-5,ColdFusion,21436
2007-1,Clean,2881
2005-2,XQuery,3396
2006-12,Clean,2620
2004-6,XQuery,1846
2003-8,ColdFusion,1508
2006-9,Clean,2637
2012-9,Terra,9742
2017-9,Slice,630
2018-10,Kaitai Struct,65
2008-11,Jupyter Notebook,27317
2012-12,XC,19779
2011-12,AspectJ,126417
2001-12,OpenEdge ABL,11267
2018-4,IDL,16456
2006-2,IDL,16326
2000-11,PLpgSQL,38907
2003-1,PLpgSQL,76628
2009-1,Jupyter Notebook,21628
2007-1,GCC Machine Description,12703
2009-4,Jupyter Notebook,26375
2005-10,FLUX,18710
2017-8,AIDL,18152
2019-9,Clarion,1093
2011-3,LFE,10
2018-12,Protocol Buffer,39962
2015-4,RPC,9666
2016-8,YASnippet,6308
2014-5,YASnippet,2690
2013-9,YASnippet,2047
2020-11,VHDL,8124
2015-5,Idris,12209
2014-7,Idris,8034
2014-7,RAML,11706
2016-1,YASnippet,5404
2013-8,Objective-J,3250
2018-10,GDScript,13697
2018-7,GDScript,14394
2011-7,Graphviz (DOT),103843
2005-2,Nginx,2117
2000-4,QMake,5765
2020-7,Mask,486
2010-7,Zig,28
2019-6,ASP.NET,6058
2016-10,Apex,11081
2015-8,Clean,1587
2012-10,mIRC Script,5299
2019-3,Clean,966
2008-7,Terra,10712
2013-7,Frege,1438
2018-2,GSC,2597
2005-3,Procfile,351
2007-3,Vue,9083
2011-1,PAWN,54672
2008-2,Web Ontology Language,5625
2019-7,Matlab,6345
2019-11,Matlab,6561
2012-3,Haml,8128
2018-2,PostScript,30107
2005-9,POV-Ray SDL,54831
2015-3,WebIDL,44432
2009-4,POV-Ray SDL,48884
2017-4,REXX,3652
2015-7,PigLatin,15060
2001-8,Clojure,1078
2018-8,ASP.NET,8530
2018-4,PigLatin,2759
2014-5,IGOR Pro,473
2013-4,IGOR Pro,969
2020-2,ShaderLab,16577
2012-2,Cool,1813
2017-5,LilyPond,2601
2016-5,IGOR Pro,157
2012-8,Lasso,9585
2012-2,Tea,455
2010-2,Fancy,268
2006-12,Tea,305
2013-10,Slim,1492
2011-8,Dylan,600
2016-11,HyPhy,4198
2011-11,Svelte,94
2009-2,Myghty,198
2011-9,AngelScript,10304
2008-2,Moocode,14
2012-5,AngelScript,9990
2010-6,Tea,94
2008-12,Dylan,498
2015-4,Zimpl,1732
2011-2,mupad,613
2010-10,BlitzMax,42
2015-1,J,86271
2007-12,J,51749
2006-12,F#,1912
2015-1,Golo,213
2005-1,Kotlin,24665
2005-5,Diff,18511
2006-7,mupad,286
2001-6,mupad,132
2012-12,mupad,814
2002-9,Diff,2166
2015-8,Jsonnet,7780
2002-12,Diff,3316
2000-9,WebAssembly,165
2007-10,WebAssembly,1223
2009-4,Io,42636
2007-5,Io,29100
2017-7,Cycript,1499
2008-11,Jinja,1523
2010-12,Jinja,3857
2000-5,WebAssembly,78
2016-7,q,24231
2005-2,Hack,107897
2003-5,SCSS,41701
2003-10,Hack,47267
2018-6,Boogie,92
2012-4,q,4178
2019-9,q,15701
2010-10,HiveQL,6744
2017-9,Cirru,674
2015-2,Game Maker Language,21617
2020-2,TLA,7559
2020-8,TLA,3658
2018-1,Pep8,3028
2011-4,Delphi,13238
2012-1,Nim,1555
2018-1,PureBasic,66177
2004-4,Processing,441
2019-11,PureBasic,6876
2012-3,Nim,1798
2018-11,RobotFramework,52220
2005-10,Lasso,18674
2013-10,Lasso,12314
2001-5,Clean,1886
2007-4,Isabelle,1266
2019-6,RAML,2774
2018-4,SQF,805
2019-10,PAWN,1260
2012-9,APL,377
2006-8,VBScript,3521
2002-8,VBScript,3252
2002-12,VBScript,7399
2015-11,Frege,63
2020-3,LookML,65
2015-1,Factor,4215
2002-4,Julia,1553
2015-12,Promela,6413
2006-10,Genshi,539
2012-8,Self,168
2005-7,HLSL,22101
2009-2,nesC,46406
2018-2,Module Management System,17174
2003-8,HLSL,1980
2005-11,HLSL,11476
2020-9,Module Management System,10073
2009-11,Csound,1551
2015-4,Squirrel,2090
2020-4,Arc,5634
2018-7,Lasso,423
2018-10,Lasso,236
2020-4,Lasso,140
2019-2,Lasso,139
2006-12,COBOL,6627
2010-1,Web Ontology Language,4662
2001-2,Coq,3697
2020-4,Metal,10644
2016-4,ATS,111
2017-9,FreeBasic,565
2018-3,RenderScript,6228
2001-2,Eagle,304
2017-4,FreeBasic,532
2019-11,Eiffel,3238
2020-1,Metal,11299
2018-1,xBase,2784
2020-8,xBase,4691
2007-1,xBase,1396
2012-2,JFlex,7023
2008-3,KRL,1277
2017-4,Qt Script,801
2016-4,nesC,9925
2015-11,PEG.js,3074
2013-7,Boo,4387
2019-5,JSONiq,6924
2020-8,Eagle,567
2000-8,Crystal,375
2009-8,Crystal,1121
2009-5,NASL,7825
2003-11,NASL,5213
2016-2,Singularity,772
2014-8,DOT,2872
2004-5,Rich Text Format,4144
2018-1,Singularity,507
2019-9,Xtend,699
2017-5,SMT,2867
2005-12,API Blueprint,576
2009-9,API Blueprint,840
2009-5,Parrot,6641
2004-3,TSQL,6585
2005-10,API Blueprint,288
2010-6,Smali,1965
2006-8,Component Pascal,2818
2017-6,PEG.js,1673
2020-6,ECL,1361
2016-10,Csound Score,2611
2014-9,Squirrel,4492
2006-7,Csound Score,3780
2003-12,Csound Score,3325
2013-4,ECL,1148
2017-11,PEG.js,1844
2009-11,Csound Score,470
2018-3,Jasmin,4828
2002-4,eC,499
2003-4,Processing,405
2020-2,kvlang,841
2014-11,Zimpl,2049
2016-5,Genie,1012
2018-7,Genie,1011
2002-5,Rich Text Format,2756
2015-11,Genie,698
2012-7,Stylus,2179
2002-9,Kotlin,228
2018-3,JSON,2632
2019-4,REXX,3421
2018-9,JSON,845
2011-10,Nit,190
2018-7,FORTRAN,2985
2000-6,,14556
2015-7,Bicep,3553
