YearMonth,LangName,CommitCnts
2002-12,Perl 6,23708
2002-8,NewLisp,25257
2019-12,SWIG,37792
2016-5,API Blueprint,10690
2011-2,Kotlin,102355
2018-6,Mathematica,18063
2005-7,CMake,362688
2008-9,R,636253
2008-12,sed,29545
2004-2,Groovy,16086
2018-5,NewLisp,4224
2005-9,Objective-C++,1813968
2000-9,Visual Basic,27140
2012-1,Cuda,64347
2019-4,Smalltalk,40839
2017-9,Blade,14837
2020-8,GCC Machine Description,1917
2019-11,Haml,10676
2012-5,M,92612
2017-5,VHDL,8899
2020-7,Mercury,1444
2012-8,TSQL,110186
2015-8,FORTRAN,81245
2018-6,Pawn,65186
2016-1,NASL,24867
2017-3,F#,146756
2018-8,Vala,36652
2018-5,Cython,48974
2012-12,Parrot,2262
2020-2,Limbo,1868
2010-5,Vim script,180893
2015-1,Limbo,10034
2014-2,Standard ML,211097
2007-12,PLpgSQL,214238
2001-8,Cucumber,4000
2005-2,Cucumber,139418
2009-4,Dockerfile,86323
2008-10,MATLAB,30496
2000-1,CMake,63422
2006-9,Rich Text Format,5106
2004-4,Smarty,64490
2012-8,Cython,14849
2008-1,Thrift,23829
2017-11,Groff,39542
2008-8,Inno Setup,46276
2007-5,PLpgSQL,262879
2002-9,Smarty,50201
2015-9,E,15339
2015-9,Eiffel,10880
2006-12,MATLAB,23185
2017-12,Vala,34005
2003-1,Perl6,111664
2020-8,Rich Text Format,28029
2020-5,Limbo,1490
2011-4,DIGITAL Command Language,154720
2000-12,XSLT,155125
2000-6,Perl6,45937
2004-12,FORTRAN,112577
2015-9,Meson,70682
2004-1,MATLAB,13034
2016-4,GAMS,1381
2016-1,LLVM,301684
2015-8,LLVM,134322
2006-7,Pure Data,42493
2002-2,DTrace,74405
2011-2,LiveScript,43724
2012-6,E,35656
2019-8,Filebench WML,308
2016-5,Glyph,128
2004-11,GDScript,26918
2014-4,Eiffel,28755
2007-6,EmberScript,10849
2000-2,D,38380
2002-1,Groff,167909
2002-8,SuperCollider,52231
2017-10,Brainfuck,47731
2003-10,Bison,46076
2000-9,DTrace,43653
2019-5,ApacheConf,10797
2006-4,E,28233
2002-3,Pure Data,75661
2003-2,DTrace,75982
2003-1,Pure Data,83350
2002-10,EmberScript,11038
2002-10,SuperCollider,40327
2005-4,E,41836
2005-4,EmberScript,10204
2005-6,Nemerle,23115
2006-10,Pure Data,57669
2012-8,CLIPS,137645
2004-4,Pure Data,64166
2000-5,GAP,81837
2000-5,Rebol,37159
2017-3,SQF,1895
2007-12,GAP,196794
2002-1,Arc,5937
2016-6,Handlebars,53498
2004-2,Arc,7494
2003-8,Arc,8191
2008-5,Arduino,5957
2013-4,Vala,53421
2011-6,XQuery,63804
2015-2,Starlark,58044
2017-2,Slim,3109
2019-11,Blade,7031
2018-6,Blade,7628
2011-1,SAS,136612
2017-4,HLSL,81028
2017-12,GDB,153224
2015-3,CLIPS,115632
2019-4,Haml,12483
2011-11,CLIPS,113972
2009-11,xBase,3503
2020-11,Haml,9844
2013-10,Volt,20733
2008-9,Standard ML,62923
2006-8,,354848
2008-1,QMake,86358
2005-5,Standard ML,51749
2016-10,Vala,46896
2009-8,DIGITAL Command Language,63061
2005-2,Standard ML,42340
2020-3,Liquid,2498
2012-2,VBScript,13010
2013-9,Apex,11551
2011-8,VBScript,16646
2013-4,Jasmin,3884
2011-7,Haml,7124
2010-1,Brainfuck,323679
2004-3,Scilab,132270
2003-3,CLIPS,82863
2017-11,Protocol Buffer,113033
2014-9,CartoCSS,13311
2000-6,Module Management System,37761
2000-11,Scilab,99985
2010-2,OpenEdge ABL,19059
2002-7,BlitzBasic,4470
2012-2,VHDL,12748
2004-4,Vala,2542
2006-1,XS,151131
2012-1,Jinja,10592
2009-5,VHDL,5808
2019-12,LilyPond,1173
2002-5,Verilog,7328
2002-12,Oxygene,1260
2010-3,M,72643
2019-3,YASnippet,9414
2003-9,ASP,27990
2017-9,YASnippet,6297
2011-12,VHDL,27041
2008-7,CartoCSS,58
2019-4,ASP.NET,7370
2018-5,YASnippet,7151
2017-9,Isabelle,1559
2008-3,IDL,30041
2011-8,RenderScript,40774
2019-6,Common Lisp,27555
2013-1,IDL,47029
2014-8,AGS Script,14363
2008-8,F#,19988
2016-2,ABAP,2897
2008-6,Procfile,3812
2010-6,PigLatin,5882
2006-2,Procfile,1345
2002-4,Jasmin,38
2010-1,AutoIt,2986
2015-6,COBOL,21601
2016-7,ABAP,2112
2002-10,Jasmin,17
2003-1,GLSL,19086
2015-11,AutoHotkey,6438
2007-4,Jasmin,82
2018-1,Classic ASP,592
2014-10,LFE,31
2019-6,Dart,20690
2004-10,Verilog,7592
2009-4,Pan,2716
2000-2,ActionScript,1557
2000-10,Verilog,7661
2000-1,Verilog,1747
2014-9,Euphoria,1540
2008-6,Euphoria,719
2013-1,ATS,6377
2006-10,Vim script,65918
2009-2,LLVM,44297
2008-9,Starlark,2457
2008-2,SCSS,47480
2012-9,Euphoria,1118
2016-6,HolyC,49
2020-2,Sass,9430
2006-5,Thrift,13464
2015-1,PureScript,2549
2009-11,GCC Machine Description,13757
2010-5,Lean,4795
2010-12,BitBake,9695
2003-5,Rust,31836
2011-5,Io,65342
2011-5,LSL,13224
2007-9,Boo,7856
2014-4,ASP.NET,5628
2013-3,Io,73702
2004-2,Vim script,23796
2006-9,Mercury,3629
2003-12,Mercury,2975
2011-6,BitBake,9470
2012-5,ABAP,17048
2011-8,Nu,46615
2016-6,UrWeb,4777
2019-10,Volt,1026
2016-8,Volt,5418
2006-5,Cuda,20461
2013-12,Cirru,5204
2020-6,jq,4633
2018-3,Game Maker Language,1652
2015-4,PureScript,5320
2020-4,Perl 6,19001
2007-5,Boo,8313
2013-8,XC,18743
2010-1,Boo,7759
2015-2,JSONiq,10282
2009-4,Nu,91866
2016-6,GDScript,20246
2006-10,XQuery,9263
2001-6,ASP,27868
2002-10,Racket,13531
2005-3,AMPL,54982
2005-12,Clean,2105
2005-11,Clean,2209
2005-8,Clean,1805
2014-5,Terra,11432
2016-11,Eagle,6375
2017-4,Stylus,10757
2020-12,Kaitai Struct,823
2015-1,Redcode,7248
2013-8,Vue,40244
2010-11,SaltStack,1028
2012-7,AspectJ,135614
2005-11,Redcode,14300
2006-8,Redcode,12909
2010-8,GCC Machine Description,11149
2008-9,SaltStack,3841
2006-4,OpenEdge ABL,10763
2003-7,GCC Machine Description,13458
2012-12,Redcode,14321
2006-11,Jupyter Notebook,25138
2002-3,Redcode,6682
2001-9,Standard ML,29893
2005-9,OpenEdge ABL,12087
2000-9,QMake,12709
2009-5,Vue,8584
2010-4,AspectJ,85564
2015-8,PAWN,32052
2014-12,PAWN,24211
2020-1,VHDL,8195
2012-12,Diff,24632
2017-2,Gosu,374
2018-3,Stata,2517
2005-10,VHDL,1718
2012-10,Objective-J,2161
2011-2,Objective-J,2027
2012-5,Objective-J,3294
2018-7,XS,9473
2012-1,Augeas,16648
2007-2,CoffeeScript,65161
2016-12,XS,27976
2004-7,Nginx,2213
2011-11,RPC,13025
2010-8,Lean,470
2019-3,G-code,4916
2008-12,RAML,1107
2006-4,Augeas,1506
2019-12,Perl6,9251
2000-12,sed,8478
2018-6,UnrealScript,159641
2016-9,EmberScript,15473
2017-1,Apex,18078
2001-4,,20721
2019-12,Futhark,247
2010-2,Apex,9180
2007-4,Apex,6291
2010-8,Apex,10412
2010-8,Zig,51
2018-7,mIRC Script,4140
2020-1,mIRC Script,5185
2017-6,RenderScript,5955
2020-4,Pony,233
2010-7,Web Ontology Language,4864
2011-10,PAWN,40058
2010-2,Web Ontology Language,4568
2013-4,Web Ontology Language,8065
2015-9,WebAssembly,3500
2019-3,Racket,3374
2016-11,DM,98754
2016-3,Max,12806
2019-2,SAS,7519
2014-8,NetLogo,89
2002-6,Gnuplot,19309
2017-3,VCL,19780
2020-8,Julia,9454
2002-2,Gnuplot,23113
2001-9,DOT,7190
2012-10,HiveQL,19782
2012-4,IGOR Pro,655
2018-11,ASP.NET,7472
2015-9,PigLatin,12640
2011-11,ASP.NET,4591
2019-4,AMPL,9984
2012-8,Factor,3910
2012-8,Logtalk,1601
2008-3,Logtalk,438
2005-10,Max,43607
2012-9,Logtalk,481
2009-1,BlitzBasic,10805
2007-8,Logtalk,234
2006-11,Dylan,441
2008-7,Bro,442
2010-8,AngelScript,7515
2012-6,Logtalk,234
2009-2,mupad,692
2013-1,AngelScript,11367
2014-2,Slim,2188
2008-4,Dylan,413
2011-10,J,135120
2008-6,J,36020
2014-10,Pug,8071
